ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ABQ,Albuquerque,Alaska Airlines Inc.,2022,69,21,-2.3768115942028984,35.04022,-106.60919,"['SEA', 'PDX']",30.434782608695656
ABQ,Albuquerque,Allegiant Air,2022,2,2,28.5,35.04022,-106.60919,"['LAS', 'AUS']",100.0
ABQ,Albuquerque,American Airlines Inc.,2022,125,38,6.32258064516129,35.04022,-106.60919,"['ORD', 'PHX']",30.4
ABQ,Albuquerque,Delta Air Lines Inc.,2022,107,26,-3.0096153846153846,35.04022,-106.60919,"['ATL', 'MSP']",24.299065420560748
ABQ,Albuquerque,Envoy Air,2022,89,25,1.0,35.04022,-106.60919,"['ORD', 'AUS', 'PHX']",28.08988764044944
ABQ,Albuquerque,Frontier Airlines Inc.,2022,4,2,6.0,35.04022,-106.60919,"['DEN', 'LAS']",50.0
ABQ,Albuquerque,Horizon Air,2022,2,0,-9.0,35.04022,-106.60919,['PDX'],0.0
ABQ,Albuquerque,JetBlue Airways,2022,72,42,31.82857142857143,35.04022,-106.60919,['JFK'],58.333333333333336
ABQ,Albuquerque,Mesa Airlines Inc.,2022,115,29,-0.11711711711711711,35.04022,-106.60919,"['PHX', 'IAH']",25.217391304347824
ABQ,Albuquerque,Republic Airline,2022,4,0,-10.5,35.04022,-106.60919,['ORD'],0.0
ABQ,Albuquerque,SkyWest Airlines Inc.,2022,431,123,1.6666666666666667,35.04022,-106.60919,"['PHX', 'LAX', 'SLC', 'ORD', 'IAH', 'SFO', 'DEN']",28.538283062645007
ABQ,Albuquerque,Southwest Airlines Co.,2022,964,329,2.5304162219850586,35.04022,-106.60919,"['DEN', 'PHX', 'DAL', 'HOU', 'LAS', 'SAN', 'LAX', 'AUS', 'BUR', 'BWI', 'MDW', 'OAK', 'SAT']",34.128630705394194
ABQ,Albuquerque,Spirit Air Lines,2022,13,4,5.076923076923077,35.04022,-106.60919,['LAS'],30.76923076923077
ABQ,Albuquerque,United Air Lines Inc.,2022,206,51,3.645320197044335,35.04022,-106.60919,"['IAH', 'DEN', 'SFO', 'ORD']",24.75728155339806
ABR,Aberdeen,SkyWest Airlines Inc.,2022,72,21,24.125,45.44906,-98.42183,['MSP'],29.166666666666668
ABY,Albany,Endeavor Air Inc.,2022,206,62,2.6666666666666665,31.53552,-84.19447,['ATL'],30.097087378640776
ACK,Nantucket,Endeavor Air Inc.,2022,88,28,62.166666666666664,41.25305,-70.06018,"['JFK', 'LGA']",31.818181818181817
ACK,Nantucket,JetBlue Airways,2022,120,49,14.846846846846846,41.25305,-70.06018,"['JFK', 'BOS', 'HPN', 'LGA']",40.833333333333336
ACK,Nantucket,Republic Airline,2022,12,2,1.9090909090909092,41.25305,-70.06018,"['PHL', 'CLT', 'ORD']",16.666666666666664
ACV,Arcata/Eureka,SkyWest Airlines Inc.,2022,241,60,10.767241379310345,40.97812,-124.10862,"['LAX', 'SFO', 'DEN', 'PHX']",24.896265560165975
ACY,Atlantic City,Spirit Air Lines,2022,230,77,5.4389140271493215,39.45758,-74.57717,"['TPA', 'MCO', 'MYR', 'BOS', 'SJU', 'MIA', 'ATL']",33.47826086956522
ADQ,Kodiak,Alaska Airlines Inc.,2022,97,24,-0.8297872340425532,57.74997,-152.49386,['ANC'],24.742268041237114
AEX,Alexandria,Endeavor Air Inc.,2022,103,30,5.271844660194175,31.32737,-92.54856,['ATL'],29.126213592233007
AEX,Alexandria,PSA Airlines Inc.,2022,8,1,-5.875,31.32737,-92.54856,['CLT'],12.5
AEX,Alexandria,SkyWest Airlines Inc.,2022,18,0,-26.88888888888889,31.32737,-92.54856,['IAH'],0.0
AGS,Augusta,American Airlines Inc.,2022,1,1,6.0,33.36996,-81.9645,['CLT'],100.0
AGS,Augusta,Delta Air Lines Inc.,2022,7,1,-5.142857142857143,33.36996,-81.9645,['ATL'],14.285714285714285
AGS,Augusta,Endeavor Air Inc.,2022,164,24,-3.54320987654321,33.36996,-81.9645,['ATL'],14.634146341463413
