ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ABQ,Albuquerque,Alaska Airlines Inc.,2019,54,22,2.9074074074074074,35.04022,-106.60919,['SEA'],40.74074074074074
ABQ,Albuquerque,Allegiant Air,2019,16,9,4.0,35.04022,-106.60919,"['AUS', 'LAS']",56.25
ABQ,Albuquerque,American Airlines Inc.,2019,125,31,-3.208,35.04022,-106.60919,"['ORD', 'PHX']",24.8
ABQ,Albuquerque,Delta Air Lines Inc.,2019,135,23,-4.866666666666666,35.04022,-106.60919,"['ATL', 'MSP', 'SLC']",17.037037037037038
ABQ,Albuquerque,Envoy Air,2019,36,16,12.88888888888889,35.04022,-106.60919,['ORD'],44.44444444444444
ABQ,Albuquerque,ExpressJet Airlines LLC d/b/a aha!,2019,62,28,3.4838709677419355,35.04022,-106.60919,"['ORD', 'IAH']",45.16129032258064
ABQ,Albuquerque,Frontier Airlines Inc.,2019,11,3,-5.4,35.04022,-106.60919,"['DEN', 'MCO']",27.27272727272727
ABQ,Albuquerque,JetBlue Airways,2019,70,30,84.70588235294117,35.04022,-106.60919,['JFK'],42.857142857142854
ABQ,Albuquerque,Mesa Airlines Inc.,2019,250,78,12.826612903225806,35.04022,-106.60919,"['PHX', 'IAH']",31.2
ABQ,Albuquerque,Republic Airline,2019,61,14,2.192982456140351,35.04022,-106.60919,"['ORD', 'IAH', 'DEN']",22.950819672131146
ABQ,Albuquerque,SkyWest Airlines Inc.,2019,406,129,8.848258706467663,35.04022,-106.60919,"['SAN', 'SFO', 'ORD', 'PHX', 'LAX', 'SLC', 'DEN', 'PDX', 'IAH']",31.773399014778324
ABQ,Albuquerque,Southwest Airlines Co.,2019,1453,487,3.192982456140351,35.04022,-106.60919,"['SAN', 'LAS', 'MCI', 'LAX', 'DAL', 'BWI', 'OAK', 'AUS', 'SJC', 'PHX', 'MDW', 'DEN', 'HOU', 'MCO', 'SAT']",33.51686166551961
ABQ,Albuquerque,United Air Lines Inc.,2019,121,37,6.448275862068965,35.04022,-106.60919,"['ORD', 'DEN', 'IAH', 'SFO']",30.57851239669421
ABR,Aberdeen,SkyWest Airlines Inc.,2019,68,18,15.151515151515152,45.44906,-98.42183,['MSP'],26.47058823529412
ABY,Albany,SkyWest Airlines Inc.,2019,188,50,-0.43010752688172044,31.53552,-84.19447,['ATL'],26.595744680851062
ACK,Nantucket,Endeavor Air Inc.,2019,8,2,-2.5,41.25305,-70.06018,['LGA'],25.0
ACK,Nantucket,JetBlue Airways,2019,146,50,35.53284671532847,41.25305,-70.06018,"['LGA', 'BOS', 'JFK', 'HPN']",34.24657534246575
ACK,Nantucket,Republic Airline,2019,12,2,-11.0,41.25305,-70.06018,"['LGA', 'CLT']",16.666666666666664
