ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ABI,Abilene,SkyWest Airlines Inc.,2020,20,2,-26.333333333333332,32.41132,-99.6819,['IAH'],10.0
ABQ,Albuquerque,Alaska Airlines Inc.,2020,45,8,-8.955555555555556,35.04022,-106.60919,"['SEA', 'PDX', 'SAT']",17.77777777777778
ABQ,Albuquerque,Allegiant Air,2020,16,5,1.0,35.04022,-106.60919,"['LAS', 'AUS']",31.25
ABQ,Albuquerque,American Airlines Inc.,2020,18,4,-7.0625,35.04022,-106.60919,"['PHX', 'ORD']",22.22222222222222
ABQ,Albuquerque,Delta Air Lines Inc.,2020,42,11,-2.641025641025641,35.04022,-106.60919,"['ATL', 'SLC']",26.190476190476193
ABQ,Albuquerque,Envoy Air,2020,70,8,-16.9,35.04022,-106.60919,['ORD'],11.428571428571429
ABQ,Albuquerque,ExpressJet Airlines LLC d/b/a aha!,2020,45,24,7.866666666666666,35.04022,-106.60919,"['IAH', 'ORD', 'DEN']",53.333333333333336
ABQ,Albuquerque,Frontier Airlines Inc.,2020,7,0,-24.714285714285715,35.04022,-106.60919,['DEN'],0.0
ABQ,Albuquerque,JetBlue Airways,2020,29,6,3.08,35.04022,-106.60919,"['JFK', 'DEN']",20.689655172413794
ABQ,Albuquerque,Mesa Airlines Inc.,2020,74,12,-8.150684931506849,35.04022,-106.60919,"['PHX', 'IAH']",16.216216216216218
ABQ,Albuquerque,Republic Airline,2020,12,2,-21.0,35.04022,-106.60919,['ORD'],16.666666666666664
ABQ,Albuquerque,SkyWest Airlines Inc.,2020,361,83,-4.105113636363637,35.04022,-106.60919,"['PHX', 'IAH', 'LAX', 'SLC', 'SFO', 'DEN', 'ORD', 'PDX']",22.99168975069252
ABQ,Albuquerque,Southwest Airlines Co.,2020,825,103,-7.9559412550066755,35.04022,-106.60919,"['BWI', 'PHX', 'DEN', 'SAN', 'DAL', 'LAS', 'OAK', 'LAX', 'HOU', 'MDW', 'SJC', 'MCO', 'MCI', 'AUS', 'SAT']",12.484848484848484
ABQ,Albuquerque,United Air Lines Inc.,2020,37,6,-6.521739130434782,35.04022,-106.60919,"['DEN', 'IAH', 'ORD']",16.216216216216218
ABR,Aberdeen,SkyWest Airlines Inc.,2020,87,13,-2.7058823529411766,45.44906,-98.42183,['MSP'],14.942528735632186
ABY,Albany,Endeavor Air Inc.,2020,98,4,-9.020408163265307,31.53552,-84.19447,['ATL'],4.081632653061225
ABY,Albany,SkyWest Airlines Inc.,2020,74,14,2.3333333333333335,31.53552,-84.19447,['ATL'],18.91891891891892
ACK,Nantucket,Endeavor Air Inc.,2020,10,2,2.2,41.25305,-70.06018,['LGA'],20.0
ACK,Nantucket,JetBlue Airways,2020,18,0,-19.333333333333332,41.25305,-70.06018,"['JFK', 'LGA', 'BOS']",0.0
ACK,Nantucket,Republic Airline,2020,9,2,-19.555555555555557,41.25305,-70.06018,"['LGA', 'PHL']",22.22222222222222
