ORIGIN,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
BHM,2019,2155,701,10.087969567284832,33.56294,-86.75355,"['MDW', 'IAH', 'PHL', 'DEN', 'ATL', 'ORD', 'DAL', 'HOU', 'LGA', 'CLT', 'TPA', 'LAS', 'MCO', 'MIA', 'BWI', 'DTW', 'CAE']",32.52900232018561
BIL,2019,405,113,0.3076923076923077,45.80766,-108.54286,"['SLC', 'MSP', 'DEN', 'LAS', 'ORD', 'AZA', 'LAX']",27.901234567901234
BJI,2019,68,15,3.8208955223880596,47.50942,-94.93372,['MSP'],22.058823529411764
BLI,2019,199,48,-3.372448979591837,48.79275,-122.53753,"['PSP', 'LAS', 'OAK', 'TUS', 'SEA', 'LAX', 'AZA', 'SAN', 'ANC', 'OGG']",24.120603015075375
BNA,2019,9035,3084,5.544621649134713,36.12448,-86.67818,"['MCI', 'BWI', 'IAH', 'ORD', 'LGA', 'MIA', 'LAX', 'ATL', 'HOU', 'TPA', 'MCO', 'CLT', 'DTW', 'DEN', 'SYR', 'MSY', 'LAS', 'JAX', 'SAN', 'MDW', 'AUS', 'MKE', 'CHS', 'BOS', 'SLC', 'DAL', 'SEA', 'MSP', 'SFO', 'PHX', 'JFK', 'EWR', 'PHL', 'CMH', 'PIT', 'CLE', 'OAK', 'SAT', 'SJC', 'PNS', 'RIC', 'GRR', 'TTN', 'BUR', 'MDT', 'OKC', 'OMA', 'ORF', 'SAV', 'SMF', 'XNA', 'BUF']",34.13392363032651
BOI,2019,2238,627,1.2107158937415579,43.56444,-116.22278,"['MSP', 'SFO', 'DEN', 'SLC', 'SAN', 'ORD', 'PDX', 'SJC', 'MDW', 'LAX', 'LAS', 'PHX', 'SEA', 'OAK', 'SMF', 'GEG', 'IAH', 'AZA']",28.01608579088472
BOS,2019,16012,5555,7.559702925923554,42.36435,-71.00518,"['HOU', 'RIC', 'EWR', 'ORD', 'ATL', 'MCI', 'BUR', 'MSP', 'SFO', 'PHL', 'SJU', 'DTW', 'JFK', 'CLE', 'LAX', 'CLT', 'MKE', 'LGA', 'MIA', 'SEA', 'IND', 'SAN', 'CMH', 'TPA', 'DEN', 'BWI', 'LAS', 'BNA', 'MSY', 'PIT', 'ROC', 'SYR', 'MCO', 'MDW', 'PHX', 'PDX', 'AUS', 'BUF', 'IAH', 'STT', 'ORF', 'SMF', 'JAX', 'CHS', 'OAK', 'SAV', 'MYR', 'DAL', 'SLC', 'ACK', 'SJC', 'MSN', 'LGB', 'HNL', 'HDN', 'PSP']",34.69273045216088
BQK,2019,105,20,-1.0571428571428572,31.25903,-81.46631,['ATL'],19.047619047619047
BQN,2019,236,90,11.038297872340426,18.49486,-67.12944,"['MCO', 'JFK', 'EWR']",38.13559322033898
BRD,2019,59,16,-1.912280701754386,46.39786,-94.13723,['MSP'],27.11864406779661
BRO,2019,282,64,1.25,25.90683,-97.42586,"['IAH', 'ORD']",22.69503546099291
BRW,2019,73,11,-8.657142857142857,71.28545,-156.766,"['FAI', 'ANC']",15.068493150684931
BTM,2019,78,13,3.8846153846153846,45.9548,-112.49746,['SLC'],16.666666666666664
BTR,2019,837,275,1.3572296476306196,30.53316,-91.14963,"['ATL', 'CLT', 'IAH']",32.85543608124254
BTV,2019,1176,431,14.187226596675416,44.473,-73.15031,"['CLT', 'ORD', 'PHL', 'JFK', 'ATL', 'LGA', 'DTW', 'EWR', 'MCO', 'DEN']",36.64965986394558
BUF,2019,3159,962,7.36396220267188,42.94052,-78.73217,"['PHX', 'PHL', 'LGA', 'JFK', 'MDW', 'BWI', 'DTW', 'BOS', 'ATL', 'TPA', 'ORD', 'EWR', 'MCO', 'CLT', 'LAS', 'MSP', 'MIA', 'LAX', 'DEN', 'BNA']",30.45267489711934
BUR,2019,3417,1056,3.0402298850574714,34.20062,-118.3585,"['DAL', 'OAK', 'LAS', 'BOS', 'PDX', 'SEA', 'SJC', 'SMF', 'PHX', 'SLC', 'SFO', 'JFK', 'DEN', 'MDW', 'ATL', 'HOU', 'BNA']",30.90430201931519
BWI,2019,11002,3615,3.1038669904726324,39.1754,-76.6682,"['LAS', 'IAH', 'ATL', 'BOS', 'DEN', 'TPA', 'MCO', 'AUS', 'CMH', 'OAK', 'CLT', 'DTW', 'ROC', 'ABQ', 'BNA', 'JAX', 'DAL', 'SMF', 'MSP', 'LAX', 'PIT', 'IND', 'MDW', 'SDF', 'SEA', 'ALB', 'SLC', 'JFK', 'MSY', 'MCI', 'SAN', 'BUF', 'CLE', 'ORD', 'ORF', 'CHS', 'SFO', 'PVD', 'SJC', 'PHX', 'MKE', 'PWM', 'SAT', 'ISP', 'HOU', 'EWR', 'MHT', 'AVL', 'OKC', 'PHL', 'MYR', 'MEM', 'SJU', 'MIA', 'SAV', 'BHM', 'TYS', 'GRR', 'PDX', 'VPS', 'GSP']",32.8576622432285
