ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ANC,Anchorage,Alaska Airlines Inc.,2021,1253,434,0.5212418300653595,61.17432,-149.99619,"['JNU', 'SEA', 'OTZ', 'ADQ', 'FAI', 'PHX', 'LAX', 'OGG', 'SCC', 'OME', 'ORD', 'BET', 'CDV', 'PDX', 'HNL', 'AKN', 'DLG', 'SFO', 'BRW', 'MSP', 'DEN', 'LAS']",34.63687150837989
ANC,Anchorage,American Airlines Inc.,2021,66,23,-1.1666666666666667,61.17432,-149.99619,"['PHX', 'ORD']",34.84848484848485
ANC,Anchorage,Delta Air Lines Inc.,2021,297,82,-1.8310810810810811,61.17432,-149.99619,"['SLC', 'SEA', 'DTW', 'MSP', 'ATL', 'LAX', 'JFK']",27.609427609427613
ANC,Anchorage,Frontier Airlines Inc.,2021,1,1,11.0,61.17432,-149.99619,['DEN'],100.0
ANC,Anchorage,Horizon Air,2021,232,75,1.0444444444444445,61.17432,-149.99619,"['SEA', 'FAI', 'DLG', 'AKN', 'PDX']",32.327586206896555
ANC,Anchorage,United Air Lines Inc.,2021,133,39,-6.195488721804511,61.17432,-149.99619,"['ORD', 'DEN', 'FAI', 'IAH', 'SFO', 'EWR']",29.32330827067669
APN,Alpena,SkyWest Airlines Inc.,2021,62,9,-10.344262295081966,45.07807,-83.56029,['DTW'],14.516129032258066
ASE,Aspen,SkyWest Airlines Inc.,2021,587,228,25.834914611005694,39.22316,-106.86885,"['LAX', 'SFO', 'IAH', 'DEN', 'ORD', 'PHX', 'SNA', 'AUS', 'ATL']",38.841567291311755
ATL,Atlanta,Alaska Airlines Inc.,2021,76,39,3.8266666666666667,33.64044,-84.42694,['SEA'],51.31578947368421
ATL,Atlanta,American Airlines Inc.,2021,555,129,0.5027322404371585,33.64044,-84.42694,"['MIA', 'LAX', 'PHL', 'CLT', 'PHX', 'ORD', 'LGA']",23.243243243243246
